applicant_id,full_name_en,father_name_en,grandfather_name_en,citizenship_number,citizenship_date_bs,citizenship_office,dob_ad,dob_bs,gender,marital_status,province_en,district_en,municipality_en,ward_no,phone_primary,occupation_en,occupation_np,education_level,household_size,land_area_ropani,has_esewa_account,has_khalti_account,esewa_account_id,khalti_account_id,primary_bank,remittance_receiving,cooperative_member,cooperative_id,kyc_tier,rural_urban,profile_created_date,_noise_geo_wrong,_noise_phone_wrong_len,_noise_dob_future,_noise_cit_malformed
AP-000001,GITA POUDEL,Deepak Sharma,Ram Thapa,CITNOISE-3615,2066/04/17,"जिल्ला प्रशासन कार्यालय, Surkhet",1975-04-05,2032-04-05,female,Married,Karnali,Surkhet,Birendranagar Municipality,9.0,2868820204,Remittance Dependent,रेमिट्यान्स आश्रित,Masters,7,7,True,False,ESW-AP-000001,,Global IME Bank,True,False,,mid,urban,2024-01-25,False,False,False,True
AP-000002,Deepak Thapa,Rajesh Koirala,Rajesh Poudel,044-063-22156,2068/01/24,"जिल्ला प्रशासन कार्यालय, Surkhet",1969-04-25,2026-04-25,male,Married,Karnali,Surkhet,Birendranagar Municipality,2.0,4184611066,Remittance Dependent,रेमिट्यान्स आश्रित,Bachelors,5,20,False,False,,,Citizens Bank,False,True,COOP-KAV-0006,mid,semi_urban,2024-01-22,False,False,False,False
AP-000003,Kamala Rai,Rajesh Shrestha,Krishna Tamang,059-080-57819,2062/10/21,"जिल्ला प्रशासन कार्यालय, Kaski",1966-07-09,2023-07-09,female,Married,Gandaki,Kaski,Pokhara Metropolitan City,12.0,2275452091,Service Worker,सेवा कर्मी,Intermediate,7,8,False,False,,,Mega Bank,True,True,COOP-JHP-0002,basic,rural,2024-01-08,False,False,False,False
AP-000004,Krishna Basnet,Deepak Adhikari,Nabin Gurung,073-070-37869,2068/03/08,"जिल्ला प्रशासन कार्यालय, Kailali",1977-02-07,2034-02-07,male,Single,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,9.0,3902099969,Government Employee,सरकारी कर्मचारी,Bachelors,7,18,False,False,,,Machhapuchchhre Bank,False,False,,mid,urban,2024-01-17,False,False,False,False
AP-000005,DEEPAK LIMBU,Mohan Basnet,Sanjay Tamang,055-079-18326,2060/11/24,"जिल्ला प्रशासन कार्यालय, Jhapa",1969-11-06,2026-11-06,male,Married,Koshi,Jhapa,Birtamod Municipality,,5906248900,Daily Wage Worker,दैनिक ज्यालादारी,SLC,6,3,True,False,ESW-AP-000005,,Sanima Bank,False,False,,mid,semi_urban,2024-03-24,False,False,False,False
AP-000006,Kabita Gurung,Sanjay Dahal,Sanjay Sharma,026-064-59009,2070/08/01,"जिल्ला प्रशासन कार्यालय, Rupandehi",1979-11-17,2036-11-17,female,Married,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,6.0,3357109965,Nurse/Health Worker,नर्स/स्वास्थ्य कर्मी,Illiterate,4,18,True,False,ESW-AP-000006,,Nabil Bank,True,True,COOP-KAV-0002,mid,urban,2024-03-25,False,False,False,False
AP-000007,Arjun Bhattarai,Rajan Shrestha,Rajan Tamang,055-066-80686,2072/11/21,"जिल्ला प्रशासन कार्यालय, Kaski",1970-05-17,2027-05-17,male,Married,Gandaki,Kaski,Pokhara Metropolitan City,15.0,5584779555,Teacher,शिक्षक,Illiterate,4,7,True,True,ESW-AP-000007,KHL-AP-000007,Nabil Bank,False,False,,mid,semi_urban,2024-01-19,False,False,False,False
AP-000008,Sanjay Shrestha,Suresh Adhikari,Nabin Shrestha,005-070-19287,2064/12/19,"जिल्ला प्रशासन कार्यालय, Kaski",1963-04-03,2020-04-03,male,Married,Gandaki,Kaski,Pokhara Metropolitan City,4.0,4967043303,Nurse/Health Worker,नर्स/स्वास्थ्य कर्मी,Intermediate,4,3,False,True,,KHL-AP-000008,Nabil Bank,False,False,,mid,rural,2024-02-15,False,False,False,False
AP-000009,Sunita Karki,Nabin Gurung,Deepak Gurung,014-067-35112,2068/08/08,"जिल्ला प्रशासन कार्यालय, Kailali",1985-12-11,2042-12-11,female,Single,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2.0,4967607278,Farmer,किसान,Bachelors,2,1,False,True,,KHL-AP-000009,Mega Bank,True,True,COOP-JHP-0002,full,urban,2024-01-06,False,False,False,False
AP-000010,Suresh Dahal,Arjun Basnet,Suresh Limbu,049-060-61173,2075/03/07,"जिल्ला प्रशासन कार्यालय, Morang",1985-01-06,2042-01-06,male,Married,Koshi,Morang,Biratnagar Metropolitan City,1.0,5889991777,Service Worker,सेवा कर्मी,Bachelors,1,10,False,False,,,Nepal Investment Bank,True,False,,basic,semi_urban,2024-03-06,False,False,False,False
